"number","text","code","Anmerkung"
"13174","<U+2757><U+FE0F>Am 28.06. wird im Bundestag über die Beschlussvorlage zur Einführung der Weidetierprämie abgestimmt. (Top 10/b) Der Ausschuss hat empfohlen, den Antrag abzulehnen. 

Ihr könnt jetzt etwas tun und selbst für die Weidetierprämie aktiv werden. <U+2B07><U+FE0F>","",""
"13175","Fragt eure Bundestagsabgeordneten unter https://t.co/uvBfylb6IO oder per Mail/Telefon, wie sie am 28.06 im Bundestag zur Weidetierprämie abstimmen werden. 

Den Antrag mit Argumenten (falls ihr welche anbringen wollt) findet ihr hier: https://t.co/BKghXlHXM4

#SchäfereiRetten<U+270A>","",""
"13177","Danke für das Lob an <U+2066>@PriskaHinz<U+2069> und <U+2066>@UmweltHessen<U+2069>. Denn die unterstützen und fördern das!  https://t.co/M9w38FDdbO","",""
"13179","Warum die schwarz-blaue Weserbergland-Koalition von #CDU und #AfD mit ihrer Blockade gegen ein Dokumentationszentrum am #Bückeberg nicht durchkommen darf https://t.co/qycATX3HMA","",""
"13180","Aktuell nimmt Abgeordnetenwatch, wegen des großen Interesses wohl keine Anfragen an Abgeordnete zum Thema Weidetierprämie mehr an. <U+263A><U+FE0F>","",""
"13184","Herzlichen Glückwunsch auch an den zweiten Frankfurter auf der Landesliste der @gruenehessen : @marcusbocklet mit vielen Ideen zur Sozialpolitik und mit 68,5 % auf Platz 10 gewählt. #gruenwirktweiter #lmvHe","",""
"13186","@MathiasWagner @MFeldmayer @JFroemmrich <U+0001F4AA><U+0001F4AA><U+0001F4AA> #GRÜNwirktweiter #lmvHE","",""
"13187","Unfassbar: Morgen beim Energieministerrat in Brüssel kämpft @peteraltmaier an der Seite von Polen, Tschechien etc. gegen Frankreich, Spanien, Niederlande, Dänemark etc. für SCHWÄCHERE #ErneuerbareEnergien Ziele. War da nicht mal was mit #Energiewende,  #Klimaschutz und #Zukunft?","",""
"13190","@SchneemannGroup @Anjata <U+0001F60A> https://t.co/CXSi3ujnY5","",""
"13194","Fast 1000 AfD-Gegner ziehen am Abend der #hessenwahl2018 wütend durch die Innenstadt von #Frankfurt, um gegen den Einzug der AfD in den Hessischen Landtag zu protestieren. https://t.co/8JdtSSKihJ","",""
"13195","War eine spannende Bildungspolitische Debatte, schön dass unser Antrag für mehr politische Bildung, den @SofiaGanter vorgestellt hat, eine Mehrheit bekommen hat und nun im Programm ist. #lmvHE","",""
"13196","Das Bündnis Akzeptanz und Vielfalt Frankfurt hat einen sehr würdigen #IDAHOBIT2018 auf die Beine gestellt - danke! https://t.co/iAZ3U78QWB","",""
"13197","#IDAHOBIT2018 https://t.co/mSjCjUimYT","",""
"13199","#EuGH-Urteil ist da: auch neue #Gentechnik ist Gentechnik und muss genauso reguliert werden. Gut so! #CRISPR","",""
"13201","Tolles Projekt, wünsche viel Erfolg! https://t.co/npSitCfYY6","",""
"13203","Ich, super-stolzer Schirmherr, präsentiere ich #Bridges aus #Frankfurt, die heute vor #Merkel und Co. gespielt haben:

https://t.co/yI3AQC5srz","",""
"13206","Die AfD Hamburg ruft Schüler auf, Lehrer zu melden, die sich kritisch mit der AfD auseinandersetzen oder sie gar nicht behandeln.
Liebe Schüler, was habt ihr sonst so für Beschwerden? Schickt sie der AfD: info@afd-fraktion.hamburg.de #heuteshow","",""
"13207","#EuGH lässt sich von Agrarindustrie nichts vormachen. Das Urteil ist wichtig für Lebensmittelsicherheit und Umweltschutz. Keine Unsicherheiten mehr #CRISPR Die Länder müssen jetzt gesetzliche Lücken schliessen. Wo Gentechnik drin ist, muss das draufstehn. https://t.co/En484YTid4 https://t.co/Vgdny8RQ66","",""
"13208","Na, heiß heute? Im Hochsommer brauchen auch Pflanzen viel Wasser – die städtischen Gärtnereien können aber nicht alle Pflanzen regelmäßig gießen. Deshalb: Helfen Sie mit und gießen Sie ab und zu die Bäume &amp; Sträucher in ihrer Straße. https://t.co/Qmle1lrRjP","",""
"13210","These are the first #Stolpersteine in #Finland! They were laid on Saturday in #Munkkiniemen puistotie 18, #Helsinki, in remembrance of Georg, Janka and Franz Olof Kollmann. (© Kristina Paavela/Lukijan Kuva) https://t.co/yuBToD0H9G","",""
"13211","5 June 1944 | Bronislaw Czech (prisoner no. 349) died of exhaustion in the #Auschwitz camp hospital. One of the most important Polish #skiers of the interwar period, 24-time Polish champion, 3-time Olympian, mountain-climber, mountain rescuer, glider pilot https://t.co/ibjEQSgGiq https://t.co/hpK1oKHEWo","",""
"13217","Einladung zum Europäischen Picknick https://t.co/zd5Zu1Tvvm","",""
"13220","Die GRÜNEN #FFM 
Bahnhofsviertel
Gallus
Gutleut
Innenstadt
Altstadt &amp;
Europaviertel sind heute u.a. mit @jessybkk und @olivereberz auf der  #lmvHE","",""
"13222","US-Gericht verurteilt #Monsanto zu Zahlung von 285 Mio. $ Schmerzensgeld. Diese überzeugende #Glyphosat-Studie kannte es wohl nicht. https://t.co/QqDEBSS9ei","",""
"13228","#BayerMonsanto muss 250 Mio. Euro Entschädigung an Krebskranken zahlen - das sollte der Weckruf für @JuliaKloeckner und die übrige Bundesregierung sein, das Geeiere endlich zu beenden und sich ohne Wenn und Aber für ein Verbot von #Glyphosat einzusetzen https://t.co/NrzXzt9XnZ","",""
"13231","Da haben #Söder und #Seehofer ganze Arbeit geleistet: Laut neuer Forsa-Umfrage liegen @Gruene_Bayern im Freistaat auf Platz 2, #Merkel ist beliebter als Söder und 2/3 der Bayern wollen europäische Lösungen statt nationaler Alleingänge. 

https://t.co/XqNXjTcEbj","",""
"13233","@danielmack @Eintracht <U+0001F60D>","",""
"13236","!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","",""
"13238","@K_SA #Conchita forever!","",""
"13240","2 Wochen danach wieder zurück in der legendären U-Bahn. Grüße, ihr Adler <U+0001F60D> #SGE @Eintracht https://t.co/2Bi9k45EoL","",""
"13243","#Eurovision2018 Music was my First Love Gedöns was it Not!","",""
"13246","Der EuGH mach Umwelt und Verbraucher zu Gewinnern! Entscheidung im Sinne  des   gesunden Menschenverstandes  und des Vorsorgeprinzips https://t.co/6ASS6vPt17 #EuGH #Gentechnik #neueGentechnik","",""
"13253","Was ist Heimat? Diese Frage dürfen wir nicht Radikalen und Fanatikern überlassen. Am Sonntag halte ich dazu beim @openflair eine Festival-Predigt. Musik kommt von @IMPALA_RAY. Wir sehen uns! #OpenFlair https://t.co/ABUZ2zGKIm","",""
"13256","@GrueneBAGGIE Ich freue mich drauf. Die Bienen sind systemrelevant <U+0001F41D>","",""
"13257","Einladung zum Besuch des Frankfurter Lehrbienenstands e.V. mit @MFeldmayer
8.6.18, 10 Uhr (Dauer ca. 2 Stunden) 
https://t.co/jFO2vMnzxO
#ffm #Frankfurt","",""
"13258","Wir gratulieren Taylan Burcu zur Wahl auf Listenplatz 20 #lmvHE #LTW18","",""
"13259","#Adler! Heute könnt ihr #Legenden werden!

#DieRueckkehr #SGE #Eintracht #Frankfurt 
#Pokal https://t.co/MacAtoBqgo","",""
"13261","Ich bedanke mich sehr herzlich für die Wahl auf Platz 6 der @gruenehessen-Landesliste. #lmvhe #ltwhe https://t.co/iAQ3UIFJpd","",""
"13263","Nervengifte mit so fataler Wirkung wie die der #Neonikotinoide gehören nicht in unsere Umwelt. Sie schädigen Nützlinge wie #Bienen, Wildbienen, Ameisen und Wasserorganismen. Dass sie überhaupt zugelassen worden sind, zeigt das Versagen des Pestizid-Zulassungssystems. https://t.co/Doq6k7H3iE","",""
"13264","Da trifft man auf dem Kasseler CSD Menschen aus Lindenholzhausen, die ganz empört von der dortigen AfD Vorsitzenden erzählen. Die Heimat bleibt stabil <U+0001F44D>","",""
"13265","Dieser #Seehofer wähnt sich immer noch auf der Bühne in München und kanzelt Angela Merkel ab, oder? Reiß‘ Dich mal zusammen, Mann! https://t.co/0jZl2aEvbn #esgehtnichtumhorst","",""
"13267","Heute morgen auf meinen Hof , mit Volldampf auf die Weide !
Kühe brauchen Auslauf und Freiheit
@bioland_de @demeter_de @Naturland_eV https://t.co/GKWMmQ5tMM","",""
"13275","@Angela_Dorn Happy birthday!!!","",""
"13277","Liebe CSU, erinnert ihr euch noch an eure schönen Worte aus eurem Koalitionsvertrag? Abschottung und nationale Alleingänge sind nicht der Aufbruch für Europa, den wir brauchen. #100TageGroKo #GroKo https://t.co/Dh5RvlSDpq","",""
"13278","Cool - Bin mit meinem #Saisongarten in #Amönau jetzt Teil der #Ökomodellregion <U+0001F601><U+0001F96C><U+0001F966><U+0001F955> https://t.co/MZEh9sttgF","",""
"13282","Auf den folgenden Listenplätzen wurden gewählt: 
  31. Karen Lischka
  33. Helena Pfingst
  35. Dorothée Andes 
  37. Lea Wreesmann 
  39. Cornelia Hofacker 
  Gratulation! #lmvHE #LTW18","",""
"13285","Unglaublich! #SGE Pokalsieger Wahrscheinlich, weil ich diesmal die Daumen für sie gedrückt habe <U+0001F609>","",""
"13286","@SPIEGELONLINE Egal. Hauptsache die #SGE hat gewonnen","",""
"13288","#maybrittillner : Volker Bouffier @cdu_fraktion und @MartinSchulz Probleme lassen sich nur europaweit lösen","",""
"13289","Alles bereit #nurdiesge #sge https://t.co/5H4irNfIlS","",""
"13290","#lmv2018 #hessen2025 https://t.co/uYNC9bBbiA","",""
"13291","„Jeder Mensch muss heute an der Seite von Juden stehen, wenn sie angegriffen werden.“ 

- @cem_oezdemir <U+0001F4AA>

#niewieder #fightantisemitism https://t.co/2SJcLdaEy9","",""
"13293","Bienensterben: Hessen für breites Verbot von Pestiziden und nimmt Neonikotinoide im Visier https://t.co/ngk7t4pyIq","",""
"13294","@Kai_Klose @gruenehessen @talwazir @FinkChristof Ich hab‘s geschafft. Bin da -30 Minuten Schlangestehen. So beliebt wie Horst  muss man erst mal werden.","",""
"13296","Das habt ihr brav gemacht. Jetzt erholt Euch kurz und schreit weiter für mich mit #NurdieSGE #FCBSGE https://t.co/qluBjBLIkY","",""
"13300","@MartinHaeusling @ebner_sha @bhoffmann_mdb @GrueneBundestag @Die_Gruenen @ABaerbock @RobertHabeck @feldmayer @FOstendorff @gruenehessen @gruene_rlp Danke @MartinHaeusling für die Klarstellung","",""
"13302","„Es kommt auf jedes einzelne Tier an!“ Die Feldhamsterstation ist ein Baustein im Feldhamsterschutz, Priorität bleibt der Schutz der Lebensräume und Verbesserungen in der Agrarlandschaft. https://t.co/xznJmdJaaz","",""
"13306","Einspruch, Frau Ministerin. In der Debatte um neue Gentechnik hat sich die grüne Forschungsministerin Theresia Bauer aus Baden-Württemberg auf Spiegel-Online geäussert https://t.co/uGEariuR8r . Meinen Kommentar findet ihr auf meiner Homepage https://t.co/s4ADhrLslF https://t.co/XvjP8w79rU","",""
"13310","Gruppenbezogene Menschenfeindlichkeit - aus welcher vermeintlichen Motivation auch immer - wird in Hessen entschieden bekämpft. Das gilt aus unserer historischen Verantwortung im Besonderen für den #Antisemitismus. #hlt #Antidiskriminierung","",""
"13311","@JFroemmrich @gruenehessen @RegHessen Wehret den Anfängen. Das dürfen wir nicht als Floskel gebrauchen, sondern als Daueraufgabe begreifen.","",""
"13314","Listenplatz 11 der GRÜNEN Hessen zur #LTW18 geht an @KayaKinkel. Glückwunsch! #lmvHE","",""
"13317","Feuerwerk überall  im Taunus! GRATULATION  #SGE","",""
"13318","Heute ist Tag der Lebensmittelverschwendung. Jede und jeder kann einen Beitrag zur Reduzierung von Lebensmittelabfällen leisten.Und was tut #Hessen?

Hier erfahren Sie es: https://t.co/9qPJy0kDiB

#FoodWasteChallenge @PriskaHinz https://t.co/HxjM8ZtYFm","",""
"13319","@PriskaHinz Hessischen Spargel und als Nachtisch hessische Erdbeeren <U+0001F353>","",""
"13320","„Wir stehen nicht nur an eurer Seite. Wir stellen uns vor euch.“ @MFeldmayer im Hessischen Landtag zur Solidarität mit Jüdinnen und Juden gegen alltäglichen Antisemitismus. <U+0001F44D><U+0001F3FE> https://t.co/M1hxTB7Jp0","",""
"13321","Keiner kann derzeit garantieren, dass das neue Verfahren CRISPR/Cas Chemikalien wie Pestizide überflüssig macht. Fakt ist, die neue #Gentechnik bleibt im System der Agrarindustrie und setzt auf Monokulturen. 
https://t.co/WbVKju1PnB","",""
"13322","Jaaaaaaaaaaaaaaaaaaaaaaa

#FCBSGE","",""
"13327","@ejtna1 Sie haben Recht. Es fehlt in allen Bereichen der #Pflege und Gesundheit fehlt es an Personal.","",""
"13328",".@Janine_Wissler: Wir wollen in #Hessen Wahlkampf machen mit @katjakipping, mit @SWagenknecht, mit @b_riexinger und mit @DietmarBartsch. Weil wir euch alle brauchen! #linke #linkebpt","",""
"13329","In stiller Trauer nehmen wir Abschied von Peter Gärtner. Du fehlst.
https://t.co/rV6d026cmG","",""
"13330","Aus dem Land des Herrn Horst Seehofer....... https://t.co/VoyrctRjvj","",""
"13337","Die Beschäftigten im öffentlichen Dienst leisten jeden Tag Großartiges und haben endlich eine höhere Bezahlung und Wertschätzung verdient. Viel Erfolg beim #Warnstreik #streik #tariff2018 https://t.co/2F6Iafi3CG","",""
"13339","@CatyMoonlight @dieLinke @CSU Schade, dass Sie nicht differenzieren. @dieLinke wird weiterhin demokratische Grund- und Freiheitsrechte verteidigen, die durch den Frontalangriff der @CSU mit dem Polizeigesetz in Frage gestellt werden.","",""
"13340","""#Mieterhöhungen, teure #Modernisierungen, überhöhte Betriebskostenabrechnungen: Die Wut auf @Vonovia_SE ist groß. Bereichert sich Deutschlands größter Wohnungskonzern an seinen Mietern?"" #wemgehörtdiestadt https://t.co/Z7mOrrxqnK","",""
"13341","„Wir lassen uns nicht weichkochen"""" Rund 200 SchülerInnen und Eltern demonstrieren für den Erhalt ihrer Mensa gestern vor dem Bildungsdezernat #Frankfurt https://t.co/EavMlvH2kX #mensaretten #igsfürgutesessen #nosodexo","",""
"13345","Gut, dass es @dielinke in Bayern mit der @CSU aufnimmt und gegen das #Polizeigesetz klagt. Dieser gravierende Eingriff in unsere Freiheitsrechte darf nicht hingenommen werden. https://t.co/54qxclwhGe","",""
"13346","#MarchForOurLives setzt heute ein starkes Zeichen. Für schärfere Waffengesetze. Veränderung beginnt mit Protest. https://t.co/zCxiF39idK","",""
"13347","Frankfurt Hauptwache jetzt. https://t.co/RvmaUngKng","",""
"13351","Heute zum Direktkandidaten der Linken im Main-Taunus-Kreis I gewählt worden. Kämpfen wir für ein starkes Ergebnis der @DIELINKEHESSEN bei der #ltwhe.","",""
"13358","Die Frankfurter Linke scheitert mit ihrem Antrag für das Areal des Alten Polizeipräsidiums. In Kürze soll wegen der Bebauung eine Entscheidung fallen: https://t.co/3aFekf2k8C","",""
"13361","Mietenwahnsinn stoppen. In #Frankfurt wird Wohnen immer unbezahlbarer. Wer will, dass #Wohnen wieder für Alle erschwinglich wird, darf es nicht länger dem Markt überlassen, was und wie gebaut wird. #stadtfüralle  https://t.co/RsOLytx6yz via @fr","",""
"13365","Linke stellen Wahlprogramm vor: Freie Fahrt mit Bus und Bahn - auf lange Sicht https://t.co/yWxsoACDCG # via @faznet","",""
"13366","Endlich in Frankfurt zu sehen. William #Kentridge im #Liebieghaus @liebieghaus https://t.co/xedUDkWMLT","",""
"13368","@Dionsmusica Change always starts with Protest. Gun Control must come. The best for you and the #MarchForOurLives. We support you also in Germany.","",""
"13370","„Es gibt einen Unterschied zwischen Positionen, an deren Umsetzung wir jetzt im Moment ganz konkret arbeiten, und solchen, die unser Selbstverständnis beschreiben.“

Eigentlich ist es nicht so schwer. @Janine_Wissler zeigt, wie es geht. #RefugeesWelcome 

https://t.co/ogvdrPzq7N","",""
"13371","2.990 Euro im Monat für 70 qm sind genau der #Mietenwahnsinn, der gestoppt werden muss. Wohnen muss bezahlbar sein. Morgen demonstriert #Frankfurt für bezahlbaren Wohnraum und eine #StadtFürAlle. https://t.co/9kjqr8D2aD","",""
"13373","@ben_shirel Danke","",""
"13375","Beim Neujahrsempfang des Ortsbeirates 3 im #Nordend müht sich die Ortsvorsteherin von den Grünen vergeblich das #Innovationsquartier zu verteidigen. Alle wissen, dass dort eben nicht bezahlbare Wohnungen entstehen.","",""
"13376","Der Landesvorstand von @DIELINKEHESSEN wertet den #linkebpt aus. Betont wird, jetzt geschlossen dafür zu kämpfen, gestärkt in den Hess. Landtag einzuziehen. #ltwhe18 https://t.co/5C1Tne0J2G","",""
"13378","Man würde sich wünschen, diese #Bundesregierung legt einen #Masterplan gegen Altersarmut vor oder entwickelt Konzepte, wie sie Wohnungsnot stoppt. Stattdessen werden ausgrenzende Narrative bedient, die die Spaltung vorantreiben und Mitmenschlichkeit mit Füßen treten. #Asylstreit","",""
"13380","Beste Samstagsbeschäftigung. Landesvorstand von @DIELINKEHESSEN berät Änderungsanträge zum Wahlprogramm für die #ltwhe18 https://t.co/Pf7PFXiJ78","",""
"13381","Nach der #linkevv von @DIELINKEHESSEN einfach ausruhen im Garten. #Brückentag https://t.co/Ib4TnOx04Q","",""
"13382","Land Hessen verhökert öffentlichen Grund und Boden. 200 Mio. Euro sind geboten für das Alte #Polizeipräsidium in #Frankfurt. Ein Riesenskandal. #stadtfüralle gilt nicht für CDU und GRÜNE in der Landesregierung. https://t.co/Xht7FTJ8C6","",""
"13388","Die Demo in #Frankfurt gegen die Demo für alle in #Kelsterbach hat begonnen. https://t.co/hfdNDtTrH3 #liebefüralle","",""
"13389","Ein Sturm erschlägt Menschen, legt bundesweit den Bahnverkehr lahm, deckt Turnhallen ab, und @foodora_de 
schickt die Leute auf die Straße, zur Not eben zu Fuß.
via https://t.co/UUKiEZEvJa https://t.co/WM6aZJHqMx","",""
"13391","“Es ist ein Trauerspiel, dass außer der @dieLinke, niemand mehr eine #Vermögensteuer fordert, sagt @SWagenknecht und fordert mehr Rückgrat beim Kampf für soziale Gerechtigkeit.“ #ltwhe18 @DIELINKEHESSEN","",""
"13392","@NeugierFB @Greby01 Sozialromantik ist das nicht, wenn man sich für eine menschenwürdige #Pflege einsetzt. Politik kann hier gegensteuern. Pflege und Betreuung von Menschen muss sich nicht rechnen. #Pflegenotstand #LINKE","",""
"13397","Kommt zum Politischen #Aschermittwoch ins Nordend. Mit Äppler und (leider) nicht mit Weißbier. Dafür aber auf jeden Fall mit einer großartigen Aschermittwochsrede von @Janine_Wissler und Poetry Slam.  #obwahlffm #äpplerwennsseinmuss #PAM2018 https://t.co/LNxS5VORSP","",""
"13399","So sieht übrigens das fertige Werk von @TrendSketcher zu #wiewirwohnenwollen aus. Danke dafür! Wir verabschieden uns für heute &amp; danken euch fürs Fragen stellen und mitdiskutieren: *aw &amp; *mb https://t.co/AwtwII6fUO","",""
"13400","Prof Harlander über die Verwerfungen am Immobilienmarkt:  Das Verhältnis stimmt nicht mehr, wenn immer neue Inseln des Reichtums entstehen und keine bezahlbaren Wohnungen geschaffen werden. Er plädiert für eine #stadtfüralle und eine soziale Vision. #wiewirwohnenwollen","",""
"13403","#Holocaustgedenktag
Am 27. Januar 2018 findet der Internationale Tag des #Gedenkens an die Opfer des #Holocaust statt. Hierzu findet vom 16. Januar bis 7. Februar an der Goethe-Uni ein vielfältiges Rahmenprogramm statt. Zur Übersicht <U+0001F449> https://t.co/NtvLoL5QEX https://t.co/qnhfmwr71u","",""
"13408","@freundeskreisv @_Seebruecke_ @SeebrueckeFfm @DIELINKE_Roemer Die Demonstration der #Seebrücke war am 17. Oktober in Frankfurt. Heute berät der Ältestenausschuss im Römer über den dringlichen Antrag, #Frankfurt zum sicheren Hafen zu machen. SPD und GRÜNE müssen nun als Teil der #Römerkoalition
entscheiden, wo sie stehen.","",""
"13409","8000 Menschen beteiligten sich am Protest der @SeebrueckeFfm und forderten, #Frankfurt zum sicheren Hafen zu machen. @DIELINKE_Roemer stellt heute den dringlichen Antrag, dass Frankfurt sich nicht länger verweigert und Solidarität zeigt: Wie #Hamburg, wie #Offenbach, wie #Köln... https://t.co/SfWQ1N3eb5","",""
"13410","Sonntagsfrage #BayernTrend: @CSU auf Tiefstand 40 Prozent (-5), @BayernSPD 16 Prozent (+2), @Gruene_Bayern 14 Prozent (+1), @fwlandtag 7 Prozent (+-0), @fdpbay 5 Prozent (+1), @AfD 10 Prozent (+-0), Sonstige 8 Prozent (+1). https://t.co/LS39dFx7nL","",""
"13411","Ab in den Süden mit der @DB_Info. Da nehm ich sogar zwei Stunden Verspätung in Kauf, wenn ich endlich blauen Himmel sehe und schöne Ausblicke hab. #ausmzugfoto https://t.co/tyOkrAaSWe","",""
"13413","@DorisAchelwilm Schön, dass Du heute da warst.","",""
"13416","Bahnhofsvorplatz in #Rödelheim wurde heute eingeweiht und erinnert künftig an Arthur Stern, der von den Nazis als Jude verfolgt wurde. Seine Enkelin war anwesend und sprach von einem schönen Tag für die Familie und einer großen Ehre. @Stadt_FFM https://t.co/AKiYVcgpPp","",""
"13417","Frankfurt: Mahnwache für inhaftierten Deniz Yücel in Flörsheim. https://t.co/bxCJ2hGxWh @Besser_Deniz @FreeDenizYuecel #FreeDeniz #Frankfurt","",""
"13418","Wenn sich die Fahrt im ICE anfühlt, wie mit der S-Bahn im Berufsverkehr unterwegs zu sein. Nachwirkungen von #Friederike. Immerhin bewegt sich was. https://t.co/hGweDd5wcn","",""
"13422","Pflege darf nicht länger dem Markt überlassen werden. Altenheime sind keine Renditeobjekte und die Menschen, die in der Pflege arbeiten, haben einen guten Lohn verdient. Der Mensch muss im Mittelpunkt stehen. #linkebpt #Pflegenotstand stoppen. https://t.co/NcbjkHJEv6","",""
"13423","Die Stadt zieht Konsequenzen aus dem tödlichen Radfahrerunfall am Börneplatz. Der von der Alten Brücke kommende Radweg in der Kurt-Schumacher-Straße wird nach Norden über den Börneplatz hinweg verlängert: https://t.co/uqJ31MwQLO","",""
"13427","Kämpferische und großartige Rede von #OprahWinfrey bei den #GoldenGlobes2018. „Zu lang wurden Frauen nicht angehört oder ihnen wurde nicht geglaubt, wenn sie den Mut hatten, gegen die Macht von Männern aufzubegehren. Aber deren Zeit ist um!""'https://t.co/5V2hc7g2X3","",""
"13430","In einem Brief an Dr. Angela #Merkel wünsche ich mir Versachlichung der Diskussion um den #219a und das #InformationsrechtfürFrauen

https://t.co/nsmUB9kur0","",""
"13432","Das ist eine gute Nachricht. Kein Platz für #Nazis. #Wetzlar https://t.co/5ojcrgluKJ","",""
"13437","Herzlichen Glückwunsch an @katjakipping und @b_riexinger zur Wahl als Parteivorsitzende. #linkebpt","",""
"13438","In der Heiligkreuzgasse 22 in #Frankfurt erinnern #Stolpersteine an die Familie Roman. Einen Stein als Erinnerung an Friedrich Roman gestiftet zu haben, ist der klare Auftrag, sich immer gegen #Antisemitismus zur Wehr zu setzen. #NieWieder https://t.co/0OD1cYU1X6","",""
"13439","Das ist geschichtsvergessen. Burschenschaften wollen am Tag der #Bücherverbrennung ein Frühschoppen auf dem Römerberg in Frankfurt abhalten. Der #VVN muss deshalb mit seiner Gedenkveranstaltung weichen. https://t.co/0FHE9KR1T2","",""
"13440","Fac de Nanterre : vote massif pour reconduire le blocage jusqu’à jeudi https://t.co/C8RnwdFH8o via @LeParisien_92","",""
"13445","Es kann nicht länger sein, dass eines der reichsten Ländrer der Welt so wenig für die Beschäftigten im Öffentlichen Dienst ausgibt. @verdihessen viel Erfolg bei der #tröd. #verdi https://t.co/lFNhB4SVhY","",""
"13449","Wählen gehen... #obwahlffm","",""
"13455","Heute wird im #Römer über den Antrag von @DIELINKE_Roemer beraten und abgestimmt, Frankfurt als @SeebrueckeFfm zum sicheren Hafen zu machen. Setzen wir ein Zeichen der Solidarität und Mitmenschlichkeit. #Frankfurt kann das!","",""
"13457","Heute findet der #linkelpthe von @DIELINKEHESSEN statt. Es geht um das Wahlprogramm für die #ltwhe. Ich versuch, Euch auf dem Laufenden zu halten. Los gehts um 10h. https://t.co/XSfKlegdds","",""
"13462","Grandios. #Chemnitz #wirsindmehr https://t.co/78YpRRCm08","",""
"13463","Gleich gehts los in Gießen mit der Veranstaltung von @SWagenknecht  und Jan Schalauske. Leute informieren sich bereits über @DIELINKEHESSEN. #LtwHe #mehrfürdiemehrheit https://t.co/EOkykzINg9","",""
"13469","„Wir sind das Kontrastprogramm zur AfD“, sagt @katjakipping. Sie wollen den Sozialstaat zerstören, wir wollen ihn retten. #linkebpt. Klare Ansage zu Beginn von Katjas Rede auf dem Parteitag. #NoAFD","",""
"13470","Bergsteigerhelme und ein Seil bekommt #DIELINKEHessen von den Parteivorsitzenden, um bei der Landtagswahl im Herbst einen neuen Gipfel zu erklimmen und noch stärker in den Hessischen Landtag einzuziehen. Vielen Dank! #linkebpt https://t.co/NOddKohyo9","",""
"13473","Danke #LinkeBPT für die Ablehnungen! https://t.co/fBEornIDVf","",""
"13477","Aufrüsten, Abschotten, Armut verschärfen und jetzt noch der #AfD nach dem Mund reden. So spaltet man die Gesellschaft weiter, anstatt zu integrieren. #Seehofer https://t.co/keO3bbbhmK","",""
"13478","#Boni bei der Deutschen Bank steigen auf 2,3 Mrd. Euro. Gleichzeitig kämpfen die Beschäftigten im Öffentlichen Dienst um 6% mehr Lohn. Warum zahlt man eigentlich denen soviel mehr, die sich nur um Geld kümmern und denen, die sich um Menschen kümmern so wenig? @_verdi #Warnstreik","",""
"13479","Im Kulturausschuss stellt sich Juliane Pfeffer vor, die seit diesem Jahr das @MMKFrankfurt leitet und auf die phantastische Sammlung des Hauses hinweist.","",""
"13481","Gedenktag: Frankfurt feiert Anne Frank. https://t.co/9F2QurE8lG #Frankfurt #ffm #AnneFrank","",""
"13484","@PeterRReichel @kliehm @DIELINKE_Roemer Wir sind uns einig in der Aussage: Aufstehen gegen Rassismus.","",""
"13485","@LisaL80 @fr Gegen diesen falschen Verdrängungswettbewerb hilft nur, dass die Stadt und das Land im großen Stil bezahlbare Wohnungen bauen. Durch den #Brexit wird sich die Situation eher verschärfen. #stadtfüralle","",""
"13488","Eine Schülerinitiative aus #Offenbach will ihre Online-Petition für ein Bleiberecht der vielen jungen #Afghanen  auf 100.000 erweitern.https://t.co/xxlubOeuvj #Flüchtlinge","",""
"13489","Beim Mahl der Arbeit erinnert Philipp Jacks vom @dgb Frankfurt an den wachsenden Gegensatz zwischen Arm und Reich und wie notwendig die Umverteilung des Reichtums ist. #stadtfüralle #1Mai","",""
"13493","Auf dem #linkelpthe geht es in die Zielgerade. Warten auf das letzte Wahlergebnis und dann gehts nach Hause mit dem Gefühl, eine gute Landesliste von @DIELINKEHESSEN  zu haben. #ltwhe","",""
"13496","Guten Morgen aus Kassel. Wir setzen heute unsere Vertreterversammlung fort. Die Plätze 15-30. #ltwhe #linkelpthe https://t.co/9s9Jkdo0u4","",""
"13498","Frankfurter Stadtreinigung: Teilprivatisierung vor 20 Jahren war ein großer Fehler. Stadt sollte die Anteile von Remondis deshalb zurückkaufen.  https://t.co/GFLdQ9hqcd via @faznet","",""
"13500","@MegguMcLeod @DIELINKE_Roemer @verdihessen Wertschätzung heißt z. B. mehr Lohn, weniger Überstunden und endlich eine höhere Personalausstattung.","",""
"13501","Heute auf der Streikkundgebung von Beschäftigten im Öffentlichen Dienst. @DIELINKE_Roemer unterstützt die Forderungen von @verdihessen nach mehr Gehalt und Wertschätzung für die geleistete Arbeit. #tarifrunde https://t.co/wcCPNF9nHm","",""
"13502","“Es ist ein Armutszeugnis für dieses Land, dass so viele Menschen in Armut leben.“, sagt @SWagenknecht in Gießen. #mehrfürdiemehrheit #ltwhe18 https://t.co/GNXX2TPd2g","",""
